GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
1600000US3651000,3651000,"New York city, New York",57782,341,64565,439,87198,690,43785,476
8600000US06390,06390,ZCTA5 06390,150703,86256,151172,67633,131875,104286,-,**
8600000US07421,07421,ZCTA5 07421,90412,4718,99948,7733,112639,19572,69906,16080
8600000US10001,10001,ZCTA5 10001,85221,9970,103304,29429,149007,18758,75794,8870
8600000US10002,10002,ZCTA5 10002,35449,2696,39145,3234,42485,6118,28319,3989
8600000US10003,10003,ZCTA5 10003,104441,6666,183657,17463,198650,9364,86768,7078
8600000US10004,10004,ZCTA5 10004,140450,24948,230694,43947,224333,63904,108036,24391
8600000US10005,10005,ZCTA5 10005,154213,33230,218346,36476,227250,30094,125250,19993
8600000US10006,10006,ZCTA5 10006,145893,38893,187125,77294,222361,52807,127564,30152
8600000US10007,10007,ZCTA5 10007,242644,34299,"250,000+",***,"250,000+",***,157674,20875
8600000US10009,10009,ZCTA5 10009,60521,5067,62901,7648,115920,21192,57492,6867
8600000US10010,10010,ZCTA5 10010,115084,6523,162450,42817,223006,28802,97949,14851
8600000US10011,10011,ZCTA5 10011,123208,9801,196466,11249,212431,16406,101848,5171
8600000US10012,10012,ZCTA5 10012,104561,5053,150933,16144,158625,17317,87535,9601
8600000US10013,10013,ZCTA5 10013,106056,7943,128750,26384,206156,38587,84854,15390
8600000US10014,10014,ZCTA5 10014,127973,6894,196417,29882,212946,34721,105523,10042
8600000US10016,10016,ZCTA5 10016,109250,7502,166917,17120,176811,14730,90028,8785
8600000US10017,10017,ZCTA5 10017,118469,18842,211054,29791,235667,46754,86879,10146
8600000US10018,10018,ZCTA5 10018,107861,11868,136250,50908,161954,43010,103415,8337
8600000US10019,10019,ZCTA5 10019,99063,5513,154063,23239,183977,28919,83312,6987
8600000US10020,10020,ZCTA5 10020,-,**,-,**,-,**,-,**
8600000US10021,10021,ZCTA5 10021,123842,14485,240677,26467,"250,000+",***,83358,6053
8600000US10022,10022,ZCTA5 10022,133208,13874,248207,29049,"250,000+",***,102666,13745
