zip,rent,income,%income,affordable?
10001,3433.958333,85221,0.483536922,No
10002,3114.375,35449,1.054261051,No
10003,3871.458333,104441,0.444820521,No
10004,3840.833333,140450,0.328159487,No
10005,3839.041667,154213,0.298732921,Yes
10006,3617.666667,145893,0.297560541,Yes
10007,5956,242644,0.294554986,Yes
10009,3430.833333,60521,0.680259745,No
10010,3563.541667,115084,0.371576414,No
10011,3810.208333,123208,0.371100091,No
10012,3563.958333,104561,0.409019615,No
10013,5775.625,106056,0.653499095,No
10014,3671.041667,127973,0.344232768,No
10016,3465.833333,109250,0.380686499,No
10017,3200,118469,0.324135428,No
10018,3511.833333,107861,0.390706558,No
10019,3553.625,99063,0.43046849,No
10021,3563.208333,123842,0.345266549,No
10022,3472.083333,133208,0.312781515,No
10023,3666.958333,123951,0.355007221,No
10024,3311.375,126107,0.315101461,No
10025,3416.666667,82352,0.497862833,No
10026,2624.875,54349,0.579559882,No
10027,2670.333333,45536,0.703706957,No
10028,2975.25,119203,0.299514274,Yes
10029,3267.791667,34015,1.152829634,No
10030,1964.916667,36118,0.652832383,No
10031,2188.541667,44040,0.596332879,No
10032,1911.041667,41890,0.547445691,No
10033,1980.208333,53044,0.447977151,No
10034,1461.25,50909,0.344438115,No
10035,2176.041667,27932,0.934859659,No
10036,3463.5,93707,0.443531433,No
10037,1750.583333,39979,0.525450862,No
10038,3325.416667,85032,0.469293913,No
10040,1591.041667,47189,0.40459641,No
10065,4503.541667,124322,0.434697801,No
10069,4154.166667,137105,0.363589949,No
10075,2727.5,129594,0.252557989,Yes
10128,3004.166667,111937,0.322056157,No
10280,3502,161419,0.2603411,Yes
10282,5162.5,"250,000+",#VALUE!,#VALUE!
10305,2241.666667,76044,0.35374257,No
10306,2191.666667,80025,0.328647298,No
10312,2200,90797,0.290758505,Yes
10314,2191.666667,80956,0.324867829,No
10458,1323.541667,32129,0.494335336,No
10461,1770,55847,0.380324816,No
10462,1442.916667,49962,0.346563388,No
10463,1977.083333,58881,0.402931336,No
10465,2120.833333,74079,0.343552154,No
10468,1332.5,35398,0.451720436,No
10471,#DIV/0!,80932,#DIV/0!,#DIV/0!
11101,2816.416667,57866,0.584056268,No
11104,1962.625,63122,0.373110801,No
11109,2890.5,137452,0.252349911,Yes
11201,3317.208333,116446,0.341845147,No
11204,#DIV/0!,47341,#DIV/0!,#DIV/0!
11205,2816.25,51574,0.655272036,No
11209,1962.5,69578,0.338469056,No
11211,3207.708333,66113,0.582222861,No
11213,#DIV/0!,40604,#DIV/0!,#DIV/0!
11215,2911.791667,116893,0.298918669,Yes
11216,2299.416667,56025,0.492512271,No
11217,3220.833333,99085,0.390069133,No
11218,2252.791667,64152,0.421397618,No
11221,2412.166667,47170,0.613652745,No
11222,2886.666667,78287,0.442474485,No
11223,2050,46310,0.531202764,No
11226,1613.625,48495,0.399288586,No
11228,#DIV/0!,63697,#DIV/0!,#DIV/0!
11229,2241.666667,59287,0.4537251,No
11230,1615,46013,0.421185317,No
11231,3191.458333,93575,0.409270639,No
11234,2450,79490,0.369857844,No
11235,2352,49653,0.568424869,No
11238,2937.208333,79013,0.446084821,No
11249,3659.25,26002,1.688754711,No
11354,2472.916667,44512,0.666674155,No
11355,2235.416667,38370,0.699113891,No
11356,2288.636364,59712,0.459934961,No
11357,2427.5,81053,0.35939447,No
11358,2187.5,65932,0.398137475,No
11360,2589.583333,84476,0.367855959,No
11361,2431.818182,82020,0.355789054,No
11365,2554.545455,63455,0.483091095,No
11367,2070.625,58924,0.421687258,No
11374,1976.041667,56863,0.417011062,No
11375,2150,76467,0.337400447,No
11385,2172.791667,64481,0.404359424,No
11432,2160,52975,0.4892874,No
11435,1730.541667,59535,0.348811623,No
11693,1600,57443,0.334244381,No
