zip,rent,income,%income,affordable?
2135,2195.416667,61566,0.427914758,No
2127,2983.333333,91597,0.390842495,No
2130,2621.25,84847,0.370726131,No
2128,2295.227273,52154,0.528103832,No
2118,3022.083333,70575,0.513850514,No
2125,2495.416667,53382,0.560956877,No
2116,2981.25,103422,0.345912862,No
2132,1896.875,93343,0.243858672,Yes
2115,2883.333333,38759,0.89269589,No
2215,2799.833333,43403,0.774093957,No
2134,2619.791667,49938,0.629530618,No
2122,#DIV/0!,56024,#DIV/0!,#DIV/0!
2114,2841.166667,89452,0.381142959,No
2129,2884.583333,103834,0.333368646,No
2111,3562.5,39329,1.086984159,No
2113,2486.458333,91212,0.327122528,No
2109,3149.583333,129716,0.291367295,Yes
2108,3043.75,126224,0.289366523,Yes
2110,4025,108438,0.445415814,No
