zip,rent,income,%income,affordable?
89108,1029.708333,44602,0.277039146,Yes
89121,1036.666667,39173,0.31756567,No
89117,1437.708333,54216,0.318217869,No
89123,1345.625,62745,0.257351183,Yes
89148,1439.166667,67477,0.255939061,Yes
89103,1108.125,39770,0.33436007,No
89147,1315,52796,0.298886279,Yes
89129,1290.166667,67866,0.228126013,Yes
89122,1156.041667,46560,0.297948883,Yes
89131,1430.375,85955,0.199691699,Yes
89128,1133.5,55840,0.243588825,Yes
89149,1303.75,68538,0.22826753,Yes
89104,1149.285714,34792,0.396396544,No
89139,1392,73375,0.22765247,Yes
89102,1368.541667,33681,0.487589442,No
89178,1412.583333,79846,0.21229617,Yes
89113,1230.541667,65337,0.226005173,Yes
89183,1287.166667,64616,0.239042961,Yes
89135,1852.291667,84397,0.263368366,Yes
89107,1082.958333,41333,0.314409794,No
89130,1287.666667,65485,0.235962434,Yes
89134,1547.125,64844,0.286310221,Yes
89141,1501.041667,85924,0.209632931,Yes
89142,1077,48978,0.263873576,Yes
89145,1253.958333,56424,0.266686162,Yes
89156,991.4583333,47541,0.250257672,Yes
89169,1359.166667,30960,0.526808786,No
89106,1083.125,31421,0.413656472,No
89166,1354.791667,80814,0.201171827,Yes
89118,1086.875,51687,0.252336177,Yes
89144,1491.458333,84051,0.212936194,Yes
89146,1159,46451,0.299412284,Yes
89138,1866.875,110136,0.203407605,Yes
89109,2133.791667,46875,0.546250667,No
89143,1364.791667,81419,0.201150837,Yes
