zip,rent,income,%income,affordable?
94109,4085.333333,79979,0.612960902,No
94110,4654.583333,109747,0.508943297,No
94122,4233.636364,102838,0.494016184,No
94112,3674.541667,82692,0.533237798,No
94115,4146.909091,103625,0.480221077,No
94117,4968.75,132979,0.448379067,No
94102,3645.625,33552,1.303871602,No
94114,5633.958333,143902,0.469816264,No
94103,4146.458333,49052,1.014382696,No
94107,4419.583333,143467,0.369666892,No
94116,3950.25,101746,0.465895465,No
94123,6126.833333,134809,0.545379018,No
94131,4509.583333,119924,0.451244121,No
94133,5180.208333,66422,0.935872151,No
94132,4079.5,72970,0.670878443,No
94105,4400,199364,0.264842198,Yes
